move/16 w5
iget-quick w4
iput-quick w3
sub-int/lit8 w2
move-wide/16 w1
invoke-custom v9
sub-int/lit16 v8
execute-inline v7
move-object/16 v6
iget-wide-quick v5
iput-wide-quick v4
not-long v3
iget-object-quick v2
iput-object-quick v1
const-method-type u9
invoke-super-quick u8
invoke-polymorphic u7
invoke-direct-empty u6
invoke-custom/range u5
const-method-handle u4
invoke-virtual-quick u3
not-int u2
invoke-super-quick/range u1
invoke-polymorphic/range t9
invoke-virtual-quick/range t8
goto/32 t7
rem-double t6
filled-new-array/range t5
xor-long t4
or-long t3
shr-int t2
ushr-int/2addr t1
sput-short s9
xor-int/lit16 s8
shr-int/2addr s7
ushr-int s6
neg-double s5
sput-char s4
sget-short s3
rem-float s2
neg-long s1
xor-int r9
shl-long r8
rem-float/2addr r7
rem-long/2addr r6
and-long r5
rem-long r4
rem-double/2addr r3
sput-byte r2
sget-char r1
float-to-long q9
shr-long/2addr q8
rem-int/lit16 q7
rsub-int q6
ushr-long q5
shr-long q4
ushr-long/2addr q3
add-double q2
sget-byte q1
mul-long p9
div-long p8
rem-int p7
filled-new-array p6
sub-double p5
div-double p4
double-to-long p3
div-int p2
shl-int p1
add-long o9
shl-int/2addr o8
mul-double o7
iput-short o6
rem-int/2addr o5
and-int o4
xor-long/2addr o3
sub-double/2addr o2
iput-char o1
long-to-float n9
rsub-int/lit8 n8
or-long/2addr n7
long-to-double n6
or-int n5
aget-boolean n4
or-int/lit16 n3
mul-int n2
aput-boolean n1
invoke-super/range m9
div-int/lit16 m8
shl-long/2addr m7
div-int/2addr m6
iget-char m5
iget-short m4
cmpg-double m3
div-long/2addr m2
aput-wide m1
iput-byte l9
neg-int l8
mul-int/lit16 l7
neg-float l6
sub-long l5
div-double/2addr l4
sput-wide l3
int-to-short l2
cmpl-double l1
sget-wide k9
mul-long/2addr k8
aget-short k7
iget-byte k6
double-to-float k5
and-long/2addr k4
add-int/lit16 k3
rem-int/lit8 k2
add-double/2addr k1
int-to-char j9
aget-wide j8
mul-int/2addr j7
long-to-int j6
const-wide j5
sub-long/2addr j4
if-gt j3
int-to-double j2
add-float j1
nop i9
cmpg-float i8
double-to-int i7
move-wide i6
div-float i5
const-string/jumbo i4
if-gtz i3
float-to-double i2
sput i1
add-long/2addr h9
or-int/lit8 h8
aput-char h7
const-wide/32 h6
mul-double/2addr h5
sub-float h4
mul-float h3
aget-char h2
shr-int/lit8 h1
const-wide/high16 g9
if-gez g8
if-le g7
move-wide/from16 g6
if-ltz g5
sparse-switch g4
div-float/2addr g3
int-to-long g2
sub-float/2addr g1
cmpl-float f9
return-wide f8
sput-boolean f7
cmp-long f6
add-int f5
div-int/lit8 f4
sub-int f3
aget f2
invoke-interface/range f1
sget e9
aput-short e8
ushr-int/lit8 e7
if-lt e6
mul-int/lit8 e5
iput-wide e4
int-to-byte e3
add-float/2addr e2
and-int/lit8 e1
sub-int/2addr d9
if-lez d8
sget-boolean d7
shl-int/lit8 d6
float-to-int d5
if-eq d4
packed-switch d3
iget-wide d2
aget-byte d1
const c9
instance-of c8
const-class c7
mul-float/2addr c6
and-int/lit16 c5
if-ge c4
monitor-enter c3
fill-array-data c2
const-wide/16 c1
aput b9
add-int/2addr b8
if-ne b7
invoke-static/range b6
int-to-float b5
invoke-super b4
invoke-direct/range b3
array-length b2
aput-byte b1
monitor-exit a9
throw a8
aget-object a7
const/high16 a6
move a5
move-result-wide a4
goto/16 a3
or-int/2addr a2
iget-boolean a1
new-array z
move/from16 y
iput-boolean x
invoke-virtual/range w
return v
sput-object u
if-nez t
xor-int/lit8 s
aput-object r
add-int/lit8 q
move-object p
check-cast o
goto n
and-int/2addr m
iput l
move-exception k
xor-int/2addr j
if-eqz i
sget-object h
const/16 g
iput-object f
return-object e
move-object/from16 d
iget c
invoke-interface b
const/4 a
return-void 9
new-instance 8
move-result 7
invoke-direct 6
const-string 5
invoke-static 4
iget-object 3
move-result-object 2
invoke-virtual 1
